Company,Chocolate_origin,Review_number,Review_year,Cocoa_percent,Company_location,Rating,Bean_type,Bean_origin,Cocoa_category,Rating_category
A. Morin,Agua Grande,1876,2016,63.0,France,3.75,6,Sao Tome,Mild Mocha,Fair
A. Morin,Kpime,1676,2015,70.0,France,2.75,6,Togo,Moderate Blend,Fair
A. Morin,Atsane,1676,2015,70.0,France,3.0,6,Togo,Moderate Blend,Fair
A. Morin,Akata,1680,2015,70.0,France,3.5,6,Togo,Moderate Blend,Fair
A. Morin,Quilla,1704,2015,70.0,France,3.5,6,Peru,Moderate Blend,Fair
A. Morin,Carenero,1315,2014,70.0,France,2.75,1,Venezuela,Moderate Blend,Fair
A. Morin,Cuba,1315,2014,70.0,France,3.5,6,Cuba,Moderate Blend,Fair
A. Morin,Sur del Lago,1315,2014,70.0,France,3.5,1,Venezuela,Moderate Blend,Fair
A. Morin,Puerto Cabello,1319,2014,70.0,France,3.75,1,Venezuela,Moderate Blend,Fair
A. Morin,Pablino,1319,2014,70.0,France,4.0,6,Peru,Moderate Blend,Excellent
A. Morin,Panama,1011,2013,70.0,France,2.75,6,Panama,Moderate Blend,Fair
A. Morin,Madagascar,1011,2013,70.0,France,3.0,1,Madagascar,Moderate Blend,Fair
A. Morin,Brazil,1011,2013,70.0,France,3.25,6,Brazil,Moderate Blend,Fair
A. Morin,Equateur,1011,2013,70.0,France,3.75,6,Ecuador,Moderate Blend,Fair
A. Morin,Colombie,1015,2013,70.0,France,2.75,6,Colombia,Moderate Blend,Fair
A. Morin,Birmanie,1015,2013,70.0,France,3.0,6,Burma,Moderate Blend,Fair
A. Morin,Papua New Guinea,1015,2013,70.0,France,3.25,6,Papua New Guinea,Moderate Blend,Fair
A. Morin,Chuao,1015,2013,70.0,France,4.0,2,Venezuela,Moderate Blend,Excellent
A. Morin,Piura,1019,2013,70.0,France,3.25,6,Peru,Moderate Blend,Fair
A. Morin,Chanchamayo Province,1019,2013,70.0,France,3.5,6,Peru,Moderate Blend,Fair
A. Morin,Chanchamayo Province,1019,2013,63.0,France,4.0,6,Peru,Mild Mocha,Excellent
A. Morin,Bolivia,797,2012,70.0,France,3.5,6,Bolivia,Moderate Blend,Fair
A. Morin,Peru,797,2012,63.0,France,3.75,6,Peru,Mild Mocha,Fair
Acalli,"Chulucanas, El Platanal",1462,2015,70.0,USA,3.75,6,Peru,Moderate Blend,Fair
Acalli,"Tumbes, Norandino",1470,2015,70.0,USA,3.75,1,Peru,Moderate Blend,Fair
Adi,Vanua Levu,705,2011,60.0,Fiji,2.75,2,Fiji,Mild Mocha,Fair
Adi,"Vanua Levu, Toto-A",705,2011,80.0,Fiji,3.25,2,Fiji,Moderate Blend,Fair
Adi,Vanua Levu,705,2011,88.0,Fiji,3.5,2,Fiji,Deep Dark,Fair
Adi,"Vanua Levu, Ami-Ami-CA",705,2011,72.0,Fiji,3.5,2,Fiji,Moderate Blend,Fair
Aequare (Gianduja),"Los Rios, Quevedo, Arriba",370,2009,55.0,Ecuador,2.75,3,Ecuador,Mild Mocha,Fair
Aequare (Gianduja),"Los Rios, Quevedo, Arriba",370,2009,70.0,Ecuador,3.0,3,Ecuador,Moderate Blend,Fair
Ah Cacao,Tabasco,316,2009,70.0,Mexico,3.0,1,Mexico,Moderate Blend,Fair
Akesson's (Pralus),"Bali (west), Sukrama Family, Melaya area",636,2011,75.0,Switzerland,3.75,2,Indonesia,Moderate Blend,Fair
Akesson's (Pralus),"Madagascar, Ambolikapiky P.",502,2010,75.0,Switzerland,2.75,1,Madagascar,Moderate Blend,Fair
Akesson's (Pralus),"Monte Alegre, D. Badero",508,2010,75.0,Switzerland,2.75,3,Brazil,Moderate Blend,Fair
Alain Ducasse,Trinite,1215,2014,65.0,France,2.75,2,Trinidad,Mild Mocha,Fair
Alain Ducasse,Vietnam,1215,2014,75.0,France,2.75,2,Vietnam,Moderate Blend,Fair
Alain Ducasse,Madagascar,1215,2014,75.0,France,3.0,2,Madagascar,Moderate Blend,Fair
Alain Ducasse,Chuao,1061,2013,75.0,France,2.5,2,Venezuela,Moderate Blend,Fair
Alain Ducasse,"Piura, Perou",1173,2013,75.0,France,2.5,6,Peru,Moderate Blend,Fair
Alexandre,"Winak Coop, Napo",1944,2017,70.0,Netherlands,3.5,3,Ecuador,Moderate Blend,Fair
Alexandre,"La Dalia, Matagalpa",1944,2017,70.0,Netherlands,3.5,4,Nicaragua,Moderate Blend,Fair
Alexandre,Tien Giang,1944,2017,70.0,Netherlands,3.5,2,Vietnam,Moderate Blend,Fair
Alexandre,"Makwale Village, Kyela",1944,2017,70.0,Netherlands,3.5,3,Tanzania,Moderate Blend,Fair
Altus aka Cao Artisan,Momotombo,1728,2016,60.0,USA,2.75,6,Nicaragua,Mild Mocha,Fair
Altus aka Cao Artisan,Acopagro,1728,2016,60.0,USA,3.0,6,Peru,Mild Mocha,Fair
Altus aka Cao Artisan,CIAAB Coop,1732,2016,60.0,USA,2.5,6,Bolivia,Mild Mocha,Fair
Altus aka Cao Artisan,Villa Andina,1732,2016,60.0,USA,2.5,6,Peru,Mild Mocha,Fair
Altus aka Cao Artisan,Gruppo Salinas,1732,2016,60.0,USA,2.75,6,Ecuador,Mild Mocha,Fair
Altus aka Cao Artisan,Sur del Lago,1125,2013,60.0,USA,2.5,6,Venezuela,Mild Mocha,Fair
Altus aka Cao Artisan,Conacado,1125,2013,60.0,USA,3.0,2,Dominican Republic,Mild Mocha,Fair
Altus aka Cao Artisan,Bolivia,1129,2013,80.0,USA,3.25,6,Bolivia,Moderate Blend,Fair
Altus aka Cao Artisan,Bolivia,1133,2013,60.0,USA,3.0,6,Bolivia,Mild Mocha,Fair
Altus aka Cao Artisan,Peru,1133,2013,60.0,USA,3.25,6,Peru,Mild Mocha,Fair
Amano,Morobe,725,2011,70.0,USA,4.0,6,Papua New Guinea,Moderate Blend,Excellent
Amano,Dos Rios,470,2010,70.0,USA,3.75,6,Dominican Republic,Moderate Blend,Fair
Amano,Guayas,470,2010,70.0,USA,4.0,6,Ecuador,Moderate Blend,Excellent
Amano,Chuao,544,2010,70.0,USA,3.0,2,Venezuela,Moderate Blend,Fair
Amano,Montanya,363,2009,70.0,USA,3.0,6,Venezuela,Moderate Blend,Fair
Amano,"Bali, Jembrana",304,2008,70.0,USA,2.75,6,Indonesia,Moderate Blend,Fair
Amano,Madagascar,129,2007,70.0,USA,3.5,2,Madagascar,Moderate Blend,Fair
Amano,Cuyagua,147,2007,70.0,USA,3.0,6,Venezuela,Moderate Blend,Fair
Amano,Ocumare,175,2007,70.0,USA,3.75,1,Venezuela,Moderate Blend,Fair
Amatller (Simon Coll),Ghana,322,2009,70.0,Spain,3.0,3,Ghana,Moderate Blend,Fair
Amatller (Simon Coll),Ecuador,327,2009,70.0,Spain,2.75,6,Ecuador,Moderate Blend,Fair
Amatller (Simon Coll),Ecuador,464,2009,85.0,Spain,2.75,6,Ecuador,Deep Dark,Fair
Amatller (Simon Coll),Ghana,464,2009,85.0,Spain,3.0,3,Ghana,Deep Dark,Fair
Amazona,"LamasdelChanka, San Martin, Oro Verde coop",1145,2013,72.0,Peru,3.25,6,Peru,Moderate Blend,Fair
Amazona,"Bellavista Gran Pajeten, San Martin",1145,2013,73.0,Peru,3.5,2,Peru,Moderate Blend,Fair
Ambrosia,Belize,1494,2015,64.0,Canada,3.0,2,Belize,Mild Mocha,Fair
Ambrosia,Madagascar,1494,2015,66.0,Canada,3.25,2,Madagascar,Mild Mocha,Fair
Ambrosia,Dominican Republic,1498,2015,75.0,Canada,3.25,6,Dominican Republic,Moderate Blend,Fair
Ambrosia,Papua New Guinea,1498,2015,63.0,Canada,3.25,6,Papua New Guinea,Mild Mocha,Fair
Ambrosia,Venezuela,1498,2015,70.0,Canada,3.25,6,Venezuela,Moderate Blend,Fair
Ambrosia,Peru,1498,2015,68.0,Canada,3.5,6,Peru,Mild Mocha,Fair
Amedei,"Piura, Blanco de Criollo",979,2012,70.0,Italy,3.75,6,Peru,Moderate Blend,Fair
Amedei,Porcelana,111,2007,70.0,Italy,4.0,1,Venezuela,Moderate Blend,Excellent
