,Review_year,Cocoa_percent,Rating,Clusters
0,2016,63.0,3.75,purple
1,2015,70.0,2.75,pink
2,2015,70.0,3.0,pink
3,2015,70.0,3.5,purple
4,2015,70.0,3.5,purple
5,2014,70.0,2.75,pink
6,2014,70.0,3.5,purple
7,2014,70.0,3.5,purple
8,2014,70.0,3.75,purple
9,2014,70.0,4.0,purple
10,2013,70.0,2.75,pink
11,2013,70.0,3.0,pink
12,2013,70.0,3.25,purple
13,2013,70.0,3.75,purple
14,2013,70.0,2.75,pink
15,2013,70.0,3.0,pink
16,2013,70.0,3.25,purple
17,2013,70.0,4.0,purple
18,2013,70.0,3.25,purple
19,2013,70.0,3.5,purple
20,2013,63.0,4.0,purple
21,2012,70.0,3.5,purple
22,2012,63.0,3.75,purple
23,2015,70.0,3.75,purple
24,2015,70.0,3.75,purple
25,2011,60.0,2.75,pink
26,2011,80.0,3.25,dark purple
27,2011,88.0,3.5,dark purple
28,2011,72.0,3.5,purple
29,2009,55.0,2.75,pink
30,2009,70.0,3.0,pink
31,2009,70.0,3.0,pink
32,2011,75.0,3.75,purple
33,2010,75.0,2.75,pink
34,2010,75.0,2.75,pink
35,2014,65.0,2.75,pink
36,2014,75.0,2.75,pink
37,2014,75.0,3.0,pink
38,2013,75.0,2.5,pink
39,2013,75.0,2.5,pink
40,2017,70.0,3.5,purple
41,2017,70.0,3.5,purple
42,2017,70.0,3.5,purple
43,2017,70.0,3.5,purple
44,2016,60.0,2.75,pink
45,2016,60.0,3.0,pink
46,2016,60.0,2.5,pink
47,2016,60.0,2.5,pink
48,2016,60.0,2.75,pink
49,2013,60.0,2.5,pink
50,2013,60.0,3.0,pink
51,2013,80.0,3.25,dark purple
52,2013,60.0,3.0,pink
53,2013,60.0,3.25,purple
54,2011,70.0,4.0,purple
55,2010,70.0,3.75,purple
56,2010,70.0,4.0,purple
57,2010,70.0,3.0,pink
58,2009,70.0,3.0,pink
59,2008,70.0,2.75,pink
60,2007,70.0,3.5,purple
61,2007,70.0,3.0,pink
62,2007,70.0,3.75,purple
63,2009,70.0,3.0,pink
64,2009,70.0,2.75,pink
65,2009,85.0,2.75,dark purple
66,2009,85.0,3.0,dark purple
67,2013,72.0,3.25,purple
68,2013,73.0,3.5,purple
69,2015,64.0,3.0,pink
70,2015,66.0,3.25,purple
71,2015,75.0,3.25,purple
72,2015,63.0,3.25,purple
73,2015,70.0,3.25,purple
74,2015,68.0,3.5,purple
75,2012,70.0,3.75,purple
76,2007,70.0,4.0,purple
77,2007,75.0,4.0,purple
78,2007,70.0,5.0,purple
79,2007,70.0,3.0,pink
80,2007,70.0,3.0,pink
81,2007,70.0,3.5,purple
82,2007,70.0,3.75,purple
83,2007,70.0,4.0,purple
84,2007,70.0,3.5,purple
85,2007,63.0,3.5,purple
86,2006,70.0,5.0,purple
87,2006,66.0,4.0,purple
88,2013,75.0,3.25,purple
89,2010,85.0,2.75,dark purple
90,2010,50.0,3.75,purple
91,2010,75.0,3.75,purple
92,2010,60.0,4.0,purple
93,2014,75.0,3.0,pink
94,2016,75.0,3.5,purple
95,2014,75.0,3.0,pink
96,2014,72.0,2.5,pink
97,2014,75.0,2.75,pink
98,2014,75.0,3.0,pink
99,2016,70.0,3.5,purple
100,2016,70.0,3.75,purple
101,2016,73.0,3.5,purple
102,2016,70.0,3.25,purple
103,2016,70.0,3.25,purple
104,2016,70.0,3.5,purple
105,2016,70.0,3.75,purple
106,2016,70.0,3.5,purple
107,2016,70.0,4.0,purple
108,2016,70.0,4.0,purple
109,2016,70.0,3.75,purple
110,2016,70.0,3.25,purple
111,2016,73.0,3.25,purple
112,2015,70.0,3.5,purple
113,2015,68.0,3.5,purple
114,2015,70.0,3.75,purple
115,2015,70.0,3.5,purple
116,2015,70.0,3.75,purple
117,2015,70.0,4.0,purple
118,2015,75.0,2.75,pink
119,2015,70.0,3.25,purple
120,2015,75.0,3.5,purple
121,2013,72.0,3.25,purple
122,2012,72.0,3.75,purple
123,2011,72.0,4.0,purple
124,2011,72.0,2.75,pink
125,2010,100.0,1.75,dark purple
126,2010,72.0,3.75,purple
127,2010,72.0,3.25,purple
128,2010,72.0,3.25,purple
129,2010,72.0,3.5,purple
130,2009,75.0,2.5,pink
131,2009,72.0,2.75,pink
132,2009,72.0,1.75,pink
133,2009,80.0,3.0,dark purple
134,2009,75.0,3.0,pink
135,2009,72.0,3.25,purple
136,2008,72.0,3.75,purple
137,2013,72.0,2.75,pink
138,2016,68.0,3.75,purple
139,2011,72.0,3.75,purple
140,2011,70.0,3.75,purple
141,2009,77.0,3.75,purple
142,2007,75.0,2.5,pink
143,2007,70.0,3.0,pink
144,2015,80.0,3.25,dark purple
145,2015,70.0,3.5,purple
146,2012,70.0,3.0,pink
147,2012,70.0,2.5,pink
148,2012,70.0,2.5,pink
149,2015,70.0,2.75,pink
150,2015,70.0,3.5,purple
151,2015,70.0,3.5,purple
152,2014,70.0,4.0,purple
153,2012,70.0,3.25,purple
154,2012,70.0,3.5,purple
155,2012,70.0,3.75,purple
156,2012,80.0,2.75,dark purple
157,2016,65.0,3.5,purple
158,2016,70.0,3.75,purple
159,2016,65.0,3.25,purple
160,2017,73.0,3.0,pink
161,2017,72.0,3.25,purple
162,2016,80.0,2.75,dark purple
163,2016,70.0,2.75,pink
164,2016,70.0,2.75,pink
165,2016,90.0,2.75,dark purple
166,2010,64.0,2.75,pink
167,2010,64.0,2.75,pink
168,2010,64.0,2.75,pink
169,2010,71.0,3.5,purple
170,2016,70.0,3.5,purple
171,2016,70.0,3.25,purple
172,2016,70.0,3.5,purple
173,2016,83.0,2.75,dark purple
174,2016,78.0,3.0,dark purple
175,2016,83.0,3.5,dark purple
176,2013,74.0,3.5,purple
177,2013,74.0,3.5,purple
178,2013,74.0,3.5,purple
179,2013,73.0,4.0,purple
180,2011,72.0,4.0,purple
181,2011,72.0,3.75,purple
182,2012,55.0,2.75,pink
183,2011,64.0,3.0,pink
184,2011,88.0,3.0,dark purple
185,2011,72.0,3.5,purple
186,2011,72.0,4.0,purple
187,2010,70.0,3.25,purple
188,2010,74.0,3.25,purple
189,2010,64.0,3.5,purple
190,2010,72.0,3.5,purple
191,2015,76.0,2.5,pink
192,2015,76.0,2.5,pink
193,2015,78.0,2.5,dark purple
194,2015,86.0,3.25,dark purple
195,2012,72.0,3.5,purple
196,2010,75.0,3.25,purple
197,2010,70.0,3.75,purple
198,2010,65.0,2.75,pink
199,2010,70.0,3.0,pink
200,2010,78.0,3.0,dark purple
201,2009,75.0,3.0,pink
202,2009,65.0,3.5,purple
203,2009,75.0,3.25,purple
204,2009,65.0,3.5,purple
205,2008,71.0,3.0,pink
206,2008,75.0,3.5,purple
207,2008,68.0,3.75,purple
208,2008,70.0,3.0,pink
209,2008,70.0,2.75,pink
